pl_hostname,pl_letter,pl_name,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_dens,st_teff,st_mass,st_rad,pl_kepflag,pl_k2flag,st_dist,st_optmag,pl_facility,ra,pl_cbflag,pl_eqt,pl_rade,pl_trandur,pl_ratdor,pl_disc,pl_locale,pl_telescope,pl_instrument,pl_mnum,pl_pelink,pl_edelink,st_lum,st_dens,st_age,st_spstr,st_umbj
HD 220773,b,HD 220773 b,1,3724.7,4.94,0.51,1.45,,5940.0,1.16,,0,0,49.0,7.093,McDonald Observatory,351.614349,0,,,,,2011,Ground,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,http://exoplanet.eu/catalog/hd_220773_b/,http://exoplanets.org/detail/HD_220773_b,,,4.4,F9,
WASP-52,b,WASP-52 b,1,1.7497798,0.0272,0.0,0.46,0.29,5000.0,0.87,0.79,0,0,140.0,12.0,SuperWASP,348.494748,0,1315,14.24,0.0754,7.3801,2012,Ground,Canon 200mm f/1.8L,iKon-L CCD Camera,0,http://exoplanet.eu/catalog/wasp-52_b/,http://exoplanets.org/detail/WASP-52_b,,2.48,0.4,K2 V,
K2-219,c,K2-219 c,3,6.66767,,,,,5753.0,1.02,1.19,0,1,328.42,12.09,K2,12.845309,0,,1.438,,10.347938,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,,,,
K2-219,b,K2-219 b,3,3.901287,,,,,5753.0,1.02,1.19,0,1,328.42,12.09,K2,12.845309,0,,1.348,,9.031985,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,,,,
K2-219,d,K2-219 d,3,11.137278,,,,,5753.0,1.02,1.19,0,1,328.42,12.09,K2,12.845309,0,,2.576,,15.766969,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,,,,
K2-150,b,K2-150 b,1,10.59357,0.0727,,,,3499.0,0.46,0.44,0,1,110.0,15.829,K2,18.344175,0,,2.0,,32.2,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,-1.585,,,M2.5 V,
bet Cnc,b,bet Cnc b,1,605.2,1.7,0.08,7.8,,4092.1,1.7,47.2,0,0,90.54,3.53,Bohyunsan Optical Astronomical Observatory,124.128838,0,,,,,2014,Ground,1.8 m Telescope,BOES Echelle Spectrograph,0,http://exoplanet.eu/catalog/beta_cnc_b/,http://exoplanets.org/detail/bet_Cnc_b,2.9,,1.85,K4 III,1.77
CoRoTID 223977153,b,CoRoTID 223977153 b,1,6.71837,0.071,,0.15,1.1,5970.0,1.08,0.79,0,0,586.2,,CoRoT,100.195183,0,938,6.389,0.104,,2017,Space,0.27 m CoRoT Telescope,CoRoT CCD Array,0,http://exoplanet.eu/catalog/corot-32_b/,,-0.155,,,G0 VI,
GJ 504,b,GJ 504 b,1,,43.5,,4.0,,6234.0,1.22,,0,0,17.54,5.22,Subaru Telescope,199.193817,0,510,,,,2013,Ground,8.2 m Subaru Telescope,HiCIAO Camera,0,http://exoplanet.eu/catalog/gj_504_b/,http://exoplanets.org/detail/GJ_504_b,0.332,,0.16,G0 V,0.09
K2-151,b,K2-151 b,1,3.835476,0.0373,,,,3695.0,0.47,0.45,0,1,69.61,14.14,K2,19.304525,0,566,1.49,,17.36,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,6.736,,M1.5 V,
K2-220,b,K2-220 b,1,13.683256,0.1104,,,,5660.0,0.96,1.02,0,1,234.92,11.89,K2,12.769862,0,758,2.39,,31.18,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,3.061,,,
K2-283,b,K2-283 b,1,1.921036,0.0291,,,,5060.0,0.89,0.82,0,1,408.24,14.445,K2,13.194414,0,1186,3.52,,8.23,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,2.861,,,
HD 128311,b,HD 128311 b,2,453.019,1.084,0.303,1.769,,,0.83,0.76,0,0,16.52,7.51,W. M. Keck Observatory,219.002335,0,,,,,2002,Ground,10 m Keck I Telescope,HIRES Spectrometer,0,http://exoplanet.eu/catalog/hd_128311_b/,http://exoplanets.org/detail/HD_128311_b,,,0.96,K0 V,
HD 128311,c,HD 128311 c,2,921.538,1.74,0.159,3.789,,,0.83,0.76,0,0,16.52,7.51,W. M. Keck Observatory,219.002335,0,,,,,2005,Ground,10 m Keck I Telescope,HIRES Spectrometer,0,http://exoplanet.eu/catalog/hd_128311_c/,http://exoplanets.org/detail/HD_128311_c,,,0.96,K0 V,
HAT-P-70,b,HAT-P-70 b,1,2.74432452,0.04739,0.0,6.78,1.54,8450.0,1.89,1.86,0,0,329.0,,HATNet,74.552333,0,2562,20.961,0.145,5.45,2019,Ground,Canon 200mm f/1.8L,2K CCD Sensor,0,,,1.223,,0.6,,
WASP-38,b,WASP-38 b,1,6.87188,,0.03,3.44,,6180.0,1.76,1.52,0,0,136.77,9.447,SuperWASP,243.959845,0,,13.787,,12.11,2010,Ground,Canon 200mm f/1.8L,iKon-L CCD Camera,0,http://exoplanet.eu/catalog/wasp-38_b/,http://exoplanets.org/detail/WASP-38_b,,0.71,,F8 V,
HD 106252,b,HD 106252 b,1,1531.0,2.61,0.48,6.93,,5874.0,1.01,1.1,0,0,38.23,7.408,Lick Observatory,183.372955,0,,,,,2002,Ground,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,http://exoplanet.eu/catalog/hd_106252_b/,http://exoplanets.org/detail/HD_106252_b,,,,G0,
HIP 41378,d,HIP 41378 d,5,1114.0,,,,,6226.0,1.17,1.34,0,1,106.61,8.93,K2,126.616043,0,,,,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/hip_41378_d/,,,0.68,,F6,
HIP 41378,f,HIP 41378 f,5,1084.0,,,,,6226.0,1.17,1.34,0,1,106.61,8.93,K2,126.616043,0,,,,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/hip_41378_f/,,,0.68,,F6,
HIP 41378,e,HIP 41378 e,5,,,,,,6226.0,1.17,1.34,0,1,106.61,8.93,K2,126.616043,0,,,,283.0,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/hip_41378_e/,,,0.68,,F6,
HIP 41378,c,HIP 41378 c,5,31.70648,,,,,6226.0,1.17,1.34,0,1,106.61,8.93,K2,126.616043,0,,,,22.0,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/hip_41378_c/,,,0.68,,F6,
HIP 41378,b,HIP 41378 b,5,15.572098,,,,,6226.0,1.17,1.34,0,1,106.61,8.93,K2,126.616043,0,,,,21.0,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/hip_41378_b/,,,0.68,,F6,
HD 89345,b,HD 89345 b,1,11.8143,0.1066,0.22,0.11,0.471,5576.0,1.16,1.75,0,1,132.8,9.376,K2,154.671066,0,1089,7.398,0.2389,13.11,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/hd_89345_b/,,0.425,0.305,7.53,G5,
K2-221,b,K2-221 b,1,2.399094,,,,,5716.0,1.01,0.95,0,1,321.63,12.703,K2,16.654982,0,,1.679,,6.506267,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,,,,
HAT-P-43,b,HAT-P-43 b,1,3.332687,0.0443,0.0,0.662,0.39,5645.0,1.05,1.1,0,0,542.0,13.356,HATNet,128.925737,0,1361,14.359,0.1354,8.64,2012,Ground,Canon 200mm f/1.8L,2K CCD Sensor,0,http://exoplanet.eu/catalog/hat-p-43_b/,,0.045,,5.7,F9,
CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,1,10037.5,2.6,,10.5,,580.5,0.02,,0,0,23.1,,W. M. Keck Observatory,224.620833,0,370,,,,2011,Ground,10 m Keck II Telescope,NIRC2 Camera,0,http://exoplanet.eu/catalog/cfbds_1458_a/,,,,,,
K2-180,b,K2-180 b,1,8.867209,0.0753,,,,5358.0,0.72,0.72,0,1,204.51,12.601,K2,126.463936,0,731,2.31,,24.12,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,3.375,,,
WASP-114,b,WASP-114 b,1,1.5487743,0.02851,0.012,1.769,0.97,5940.0,1.29,1.43,0,0,460.0,12.743,SuperWASP-North,327.664437,0,2043,15.009,0.11592,,2016,Ground,Canon 200mm f/1.8L,Andor e2v CCD Camera,0,http://exoplanet.eu/catalog/wasp-114_b/,,,0.619,4.3,G0,
K2-117,b,K2-117 b,2,1.2916,0.0189,,,,3778.0,0.54,0.51,0,1,101.95,14.655,K2,133.855682,0,868,2.03,,7.87,2017,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,,,M1.0 V,
K2-117,c,K2-117 c,2,5.444017,0.0492,,,,3778.0,0.54,0.51,0,1,101.95,14.655,K2,133.855682,0,537,2.06,,18.52,2017,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,,,M1.0 V,
HAT-P-57,b,HAT-P-57 b,1,2.4653,,0.0,1.41,,6330.0,2.77,1.85,0,0,282.08,10.465,HATNet,274.743421,0,,19.504,,5.82,2015,Ground,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/hat-p-57_b/,,,0.62,,A8 V,
MASCARA-1,b,MASCARA-1 b,1,2.14878,0.043,0.0,3.7,1.5,7554.0,1.72,2.1,0,0,188.7,8.273,Multiple Observatories,317.551544,0,2570,16.814,0.16875,,2017,Ground,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/mascara-1_b/,,1.176,0.33,1.0,A8,
EPIC 220674823,b,EPIC 220674823 b,2,0.571331,0.0134,,,,5617.0,0.97,0.98,0,1,246.1,12.102,K2,13.07978,0,2119,1.82,,2.72,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/k2-106_b/,,,,,G5 V,
EPIC 220674823,c,EPIC 220674823 c,2,13.339079,0.1091,,,,5617.0,0.97,0.98,0,1,246.1,12.102,K2,13.07978,0,741,2.73,,27.66,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/k2-106_c/,,,,,G5 V,
HD 14787,b,HD 14787 b,1,676.6,1.7,0.155,1.121,,4946.0,1.43,5.01,0,0,119.54,7.63,W. M. Keck Observatory,35.808552,0,,,,,2018,Ground,10 m Keck I Telescope,HIRES Spectrometer,0,,,,,,G5,
18 Del,b,18 Del b,1,993.3,2.6,0.08,10.3,,4979.0,2.3,8.5,0,0,76.38,5.506,Okayama Astrophysical Observatory,314.608063,0,,,,,2008,Ground,1.88 m Telescope,HIDES Echelle Spectrograph,0,http://exoplanet.eu/catalog/18_del_b/,http://exoplanets.org/detail/18_Del_b,1.602,,,G6 III,
K2-97,b,K2-97 b,1,8.406726,0.086,,,,4717.0,1.2,4.47,0,1,869.76,12.611,K2,127.762833,0,1499,10.61,,10.16,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,0.279,,,
K2-181,b,K2-181 b,1,6.894256,0.0706,,,,5608.0,0.99,1.07,0,1,364.82,12.749,K2,127.554031,0,962,2.84,,18.79,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,2.639,,,
HD 45652,b,HD 45652 b,1,44.073,0.237,0.607,0.433,,5294.0,0.92,0.94,0,0,34.89,8.1,Haute-Provence Observatory,97.304962,0,,,,,2008,Ground,1.93 m Telescope,ELODIE Spectrograph,0,http://exoplanet.eu/catalog/hd_45652_b/,http://exoplanets.org/detail/HD_45652_b,-0.2,,8.4,G8/K0,
K2-182,b,K2-182 b,1,4.736837,0.0529,,,,5165.0,0.88,0.8,0,1,155.9,11.997,K2,130.180328,0,885,2.76,,13.89,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,2.256,,,
GJ 3998,c,GJ 3998 c,2,13.74,0.089,0.049,0.0197,,3722.0,0.5,0.49,0,0,18.16,10.83,Roque de los Muchachos Observatory,259.002655,0,,,,,2016,Ground,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,0,http://exoplanet.eu/catalog/gj_3998_c/,,-1.387,,,M1,
GJ 3998,b,GJ 3998 b,2,2.64977,0.029,0.0,0.00777,,3722.0,0.5,0.49,0,0,18.16,10.83,Roque de los Muchachos Observatory,259.002655,0,,,,,2016,Ground,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,0,http://exoplanet.eu/catalog/gj_3998_b/,,-1.387,,,M1,
HD 196885 A,b,HD 196885 A b,1,1333.0,2.37,0.48,2.58,,6254.0,1.28,1.31,0,0,34.2,6.398,Haute-Provence Observatory,309.966156,0,,,,,2007,Ground,1.93 m Telescope,ELODIE Spectrograph,0,http://exoplanet.eu/catalog/hd_196885_a_b/,http://exoplanets.org/detail/HD_196885_b,0.38,,3.12,F8 V,
K2-98,b,K2-98 b,1,10.136448,0.0974,,,,6172.0,1.2,1.57,0,1,526.31,12.166,K2,126.488289,0,1092,5.2,,15.09,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/epic_211391664_b/,,,0.633,,F8 V,
NGC 2682 YBP 401,b,NGC 2682 YBP 401 b,1,4.087,,0.15,0.46,,6165.0,1.14,,0,0,851.36,13.7,La Silla Observatory,132.82936,0,,,,,2016,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/ybp401_b/,,,,,F9 V,
NGC 2682 Sand 364,b,NGC 2682 Sand 364 b,1,121.71,0.53,0.35,6.69,,4284.0,9.06,39.59,0,0,837.03,9.8,Multiple Observatories,132.48676,0,,,,,2014,Ground,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/sand_364_b/,http://exoplanets.org/detail/M_67_SAND_364_b,,,,K3 III,
HD 170469,b,HD 170469 b,1,1145.0,2.24,0.11,0.66,,5842.0,1.1,1.24,0,0,60.28,8.21,W. M. Keck Observatory,277.295746,0,,,,,2007,Ground,10 m Keck I Telescope,HIRES Spectrometer,0,http://exoplanet.eu/catalog/hd_170469_b/,http://exoplanets.org/detail/HD_170469_b,,,,G5 IV,
K2-222,b,K2-222 b,1,15.387063,0.1211,,,,6058.0,1.0,1.09,0,1,101.59,9.543,K2,16.46228,0,801,2.39,,25.07,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,1.25,,,
NGC 2682 Sand 978,b,NGC 2682 Sand 978 b,1,511.21,,0.16,2.18,,4200.0,1.37,,0,0,842.01,9.71,Multiple Observatories,132.82283,0,,,,,2017,Ground,Multiple Telescopes,Multiple Instruments,0,,,,,,K4 III,
NGC 2682 YBP 1194,b,NGC 2682 YBP 1194 b,1,6.959,,0.3,0.32,,5780.0,1.01,,0,0,895.73,14.6,Multiple Observatories,132.753364,0,,,,,2014,Ground,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/ybp1194_b/,http://exoplanets.org/detail/M_67_YBP_1194_b,,,,G5 V,
EPIC 248847494,b,EPIC 248847494 b,1,3650.0,4.5,0.0,13.0,,4898.0,0.9,2.7,0,1,560.0,12.416,K2,159.389267,0,183,12.442,2.2333333,,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,0.064,,,
K2-268,b,K2-268 b,2,2.151894,0.0308,,,,5068.0,0.84,0.78,0,1,331.46,13.853,K2,133.709549,0,1121,1.41,,7.96,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,,,,
K2-268,c,K2-268 c,2,9.326841,0.0819,,,,5068.0,0.84,0.78,0,1,331.46,13.853,K2,133.709549,0,688,2.69,,23.41,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,,,,
NGC 2682 YBP 1514,b,NGC 2682 YBP 1514 b,1,5.118,,0.28,0.4,,5725.0,0.96,,0,0,939.38,14.77,Multiple Observatories,132.753193,0,,,,,2014,Ground,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/ybp1514_b/,http://exoplanets.org/detail/M_67_YBP_1514_b,,,,G5 V,
HD 148164,b,HD 148164 b,2,328.55,0.993,0.587,1.23,,6032.0,1.21,1.34,0,0,77.37,8.23,W. M. Keck Observatory,246.435547,0,,,,,2018,Ground,10 m Keck I Telescope,HIRES Spectrometer,0,http://exoplanet.eu/catalog/hd_148164_b/,,0.33,,2.41,F8,
HD 148164,c,HD 148164 c,2,5062.0,6.15,0.125,5.16,,6032.0,1.21,1.34,0,0,77.37,8.23,W. M. Keck Observatory,246.435547,0,,,,,2018,Ground,10 m Keck I Telescope,HIRES Spectrometer,0,http://exoplanet.eu/catalog/hd_148164_c/,,0.33,,2.41,F8,
K2-114,b,K2-114 b,1,11.391013,0.0954,,,,5044.0,0.89,0.84,0,1,484.8,14.556,K2,127.882965,0,661,10.67,,22.47,2017,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/epic_211418729_b/,,,1.655,,,
HD 152581,b,HD 152581 b,1,686.5,1.66,0.04,1.869,,5027.0,1.3,5.14,0,0,166.54,8.38,W. M. Keck Observatory,253.431595,0,,,,,2011,Ground,10 m Keck I Telescope,HIRES Spectrometer,0,http://exoplanet.eu/catalog/hd_152581_b/,http://exoplanets.org/detail/HD_152581_b,,,,K0,
HAT-P-65,b,HAT-P-65 b,1,2.6054552,0.03951,0.304,0.527,0.096,5835.0,1.21,1.86,0,0,841.0,13.145,HATNet,315.905487,0,1930,21.185,0.1819,4.57,2016,Ground,Canon 200mm f/1.8L,2K CCD Sensor,0,http://exoplanet.eu/catalog/hat-p-65_b/,,0.555,0.266,5.46,G2,
HAT-P-50,b,HAT-P-50 b,1,3.1220109,0.0453,0.115,1.35,0.78,6280.0,1.27,1.7,0,0,497.0,11.762,HATNet,118.063411,0,1862,14.437,0.1531,5.68,2015,Ground,multiple telescopes,multiple instruments,0,http://exoplanet.eu/catalog/hat-p-50_b/,,0.603,0.357,3.37,F5,
K2-115,b,K2-115 b,1,20.272615,0.143,,,,5657.0,0.95,0.88,0,1,418.58,13.362,K2,126.553444,0,619,12.06,,38.68,2017,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/epic_211442297_b/,,,2.663,,G4,
HD 31253,b,HD 31253 b,1,466.0,1.26,0.3,0.62,,6130.0,1.7,1.75,0,0,58.24,7.133,W. M. Keck Observatory,73.681892,0,,,,,2010,Ground,10 m Keck I Telescope,HIRES Spectrometer,0,http://exoplanet.eu/catalog/hd_31253_b/,http://exoplanets.org/detail/HD_31253_b,,,,F8,
Ross 458,c,Ross 458 c,1,,1168.0,,6.28536,,3621.0,0.49,0.63,0,0,11.51,9.72,Las Campanas Observatory,195.194092,1,,13.675,,,2010,Ground,6.5 m Magellan I Baade Telescope,FIRE Spectrograph,0,http://exoplanet.eu/catalog/ross_458_%28ab%29_c/,,-1.222,,,M0.5,
K2-77,b,K2-77 b,1,8.199796,,0.14,1.9,,4970.0,0.8,0.76,0,1,142.31,12.158,K2,55.228428,0,,2.3,0.1,23.2,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,-0.5,2.5,0.85,,
HD 89307,b,HD 89307 b,1,2166.0,3.27,0.2,2.11,,5955.0,1.27,1.1,0,0,32.04,7.009,Lick Observatory,154.588699,0,,,,,2009,Ground,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,http://exoplanet.eu/catalog/hd_89307_b/,http://exoplanets.org/detail/HD_89307_b,,,,G0,
PSR B1257+12,c,PSR B1257+12 c,3,66.5419,0.36,0.0186,0.01353,,,1.4,,0,0,600.0,,Arecibo Observatory,195.014903,0,,,,,1992,Ground,305 m Arecibo Radio Telescope,Arecibo Radio Reciever,0,http://exoplanet.eu/catalog/psr_1257_12_c/,http://exoplanets.org/detail/PSR_B1257+12_B,,,3.0,,
PSR B1257+12,b,PSR B1257+12 b,3,25.262,0.19,0.0,6e-05,,,1.4,,0,0,600.0,,Arecibo Observatory,195.014903,0,,,,,1994,Ground,305 m Arecibo Radio Telescope,Arecibo Radio Reciever,0,http://exoplanet.eu/catalog/psr_1257_12_b/,http://exoplanets.org/detail/PSR_B1257+12_A,,,3.0,,
PSR B1257+12,d,PSR B1257+12 d,3,98.2114,0.46,,0.01227,,,1.4,,0,0,600.0,,Arecibo Observatory,195.014903,0,,,,,1992,Ground,305 m Arecibo Radio Telescope,Arecibo Radio Reciever,0,http://exoplanet.eu/catalog/psr_1257_12_d/,http://exoplanets.org/detail/PSR_B1257+12_C,,,3.0,,
NN Ser,c,NN Ser c,2,5573.55,5.35,0.08,7.33,,57000.0,0.54,,0,0,500.0,,Multiple Observatories,238.233879,1,,,,,2010,Ground,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/nn_ser_(ab)_c/,http://exoplanets.org/detail/NN_Ser_c,,,,WD,
NN Ser,d,NN Ser d,2,2883.5,3.43,0.19,2.3,,57000.0,0.54,,0,0,500.0,,Multiple Observatories,238.233879,1,,,,,2010,Ground,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/nn_ser_(ab)_d/,http://exoplanets.org/detail/NN_Ser_d,,,,WD,
HD 73534,b,HD 73534 b,1,1750.0,2.99,0.126,1.112,,4917.0,1.16,2.58,0,0,83.53,8.23,W. M. Keck Observatory,129.815842,0,,,,,2008,Ground,10 m Keck I Telescope,HIRES Spectrometer,0,http://exoplanet.eu/catalog/hd_73534_b/,http://exoplanets.org/detail/HD_73534_b,,,,G5,
K2-269,b,K2-269 b,1,4.144965,0.0531,,,,6209.0,1.16,1.45,0,1,362.07,11.784,K2,130.155167,0,1429,1.57,,10.07,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,1.13,,,
HD 75784,c,HD 75784 c,2,7900.0,8.4,0.489,5.64,,4867.0,1.26,3.4,0,0,85.64,7.84,W. M. Keck Observatory,133.099747,0,,,,,2018,Ground,10 m Keck I Telescope,HIRES Spectrometer,0,http://exoplanet.eu/catalog/hd_75784_c/,,,,,G5,
HD 75784,b,HD 75784 b,2,341.2,1.032,0.097,1.0,,4867.0,1.26,3.4,0,0,85.64,7.84,W. M. Keck Observatory,133.099747,0,,,,,2014,Ground,10 m Keck I Telescope,HIRES Spectrometer,0,http://exoplanet.eu/catalog/hd_75784_b/,,,,,G5,
HD 145934,b,HD 145934 b,1,2730.0,4.6,0.053,2.28,,,1.75,5.38,0,0,229.35,8.5,W. M. Keck Observatory,243.29114,0,,,,,2015,Ground,10 m Keck I Telescope,HIRES Spectrometer,0,http://exoplanet.eu/catalog/hd_145934_b/,,,,,K0,
K2-105,b,K2-105 b,1,8.267704,0.0796,,,,5464.0,0.99,0.91,0,1,199.28,11.752,K2,125.42028,0,814,3.37,,17.72,2017,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/k2-105_b/,,,1.541,,K1,
K2-79,b,K2-79 b,1,10.99573,0.0987,,,,5926.0,1.06,1.28,0,1,257.9,12.075,K2,55.255905,0,,3.69,0.1841667,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,,,,
K2-270,c,K2-270 c,2,4.400028,0.0497,,,,4877.0,0.85,0.77,0,1,283.53,13.782,K2,131.266602,0,848,2.95,,20.94,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,,,,
K2-270,b,K2-270 b,2,1.543069,0.0247,,,,4877.0,0.85,0.77,0,1,283.53,13.782,K2,131.266602,0,1203,1.38,,6.04,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,,,,
HD 72490,b,HD 72490 b,1,858.0,1.88,0.124,1.768,,4934.0,1.21,4.96,0,1,126.79,7.82,W. M. Keck Observatory,128.40271,0,,,,,2018,Ground,10 m Keck I Telescope,HIRES Spectrometer,0,,,,,,G5,
K2-80,d,K2-80 d,3,28.867253,,,,,5441.0,0.9,0.87,0,1,201.96,12.626,K2,59.037487,0,,2.552,,45.619404,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,,,,
K2-80,b,K2-80 b,3,19.0918,0.135,,,,5441.0,0.9,0.87,0,1,201.96,12.626,K2,59.037487,0,,2.01,0.1858333,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,,,,
K2-80,c,K2-80 c,3,5.605,0.0596,,,,5441.0,0.9,0.87,0,1,201.96,12.626,K2,59.037487,0,,1.47,0.1116667,,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,,,,
KELT-17,b,KELT-17 b,1,3.0801716,0.04881,,1.31,0.46,7454.0,1.64,1.65,0,0,210.0,9.286,KELT,125.617523,0,2087,17.094,0.1448,6.38,2016,Ground,Multiple Telescopes,Multiple Instuments,0,http://exoplanet.eu/catalog/kelt-17_b/,,0.876,0.518,0.65,A,
70 Vir,b,70 Vir b,1,116.688,0.481,0.3988,7.416,,5495.0,1.09,1.89,0,0,17.91,4.97,Lick Observatory,202.107544,0,,,,,1996,Ground,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,http://exoplanet.eu/catalog/70_vir_b/,http://exoplanets.org/detail/70_Vir_b,,,,G4 V,0.26
K2-183,b,K2-183 b,3,0.469269,,,,,5519.0,0.93,0.97,0,1,331.77,12.846,K2,125.007156,0,,2.599,,1.396227,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,,,,
K2-183,d,K2-183 d,3,22.631964,0.1527,,,,5519.0,0.93,0.97,0,1,331.77,12.846,K2,125.007156,0,615,2.86,,44.41,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,,,,
K2-183,c,K2-183 c,3,10.792635,0.0932,,,,5519.0,0.93,0.97,0,1,331.77,12.846,K2,125.007156,0,787,2.87,,19.6,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,,,,
HD 1502,b,HD 1502 b,1,428.5,1.262,0.031,2.75,,4947.0,1.46,4.67,0,0,191.96,8.36,W. M. Keck Observatory,4.82111,0,,,,,2011,Ground,10 m Keck I Telescope,HIRES Spectrometer,0,http://exoplanet.eu/catalog/hd_1502_b/,http://exoplanets.org/detail/HD_1502_b,,,,K0,
HD 102272,b,HD 102272 b,1,127.58,0.51,0.05,4.94,,4790.0,1.45,10.3,0,0,350.01,8.69,McDonald Observatory,176.598068,0,,,,,2008,Ground,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,http://exoplanet.eu/catalog/hd_102272_b/,http://exoplanets.org/detail/HD_102272_b,,,,K0,0.69
HAT-P-24,b,HAT-P-24 b,1,3.35524,,0.07,0.75,,6373.0,1.37,1.38,0,0,420.26,11.818,HATNet,108.825058,0,,14.572,,7.61,2010,Ground,Canon 200mm f/1.8L,2K CCD Sensor,0,http://exoplanet.eu/catalog/hat-p-24_b/,http://exoplanets.org/detail/HAT-P-24_b,,0.74,,F8,
HD 80653,b,HD 80653 b,1,0.719573,0.0166,,0.01762,7.4,,1.18,1.22,0,1,109.86,9.452,K2,140.339249,0,,1.613,0.0749,2.92,2020,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/hd_80653_b/,,0.24,0.9,2.67,G2,
K2-184,b,K2-184 b,1,16.995731,0.1229,,,,5220.0,0.86,0.78,0,1,75.79,10.345,K2,129.140106,0,580,1.55,,47.37,2018,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,6.966,,,
K2-81,b,K2-81 b,1,6.102325,0.059,0.06,,,4674.13,0.75,0.63,0,1,254.14,14.364,K2,57.485489,0,,1.97,,19.77,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,,,,,,,
